02-Aug-2023,CM,11378,11378,,abc,C,8712.08,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc1,C,23.38,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc2,C,107.23,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc3,C,345.9,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc4,C,169.28,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc5,C,632.72,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc6,C,6645.39,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc7,C,10785.29,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc9,C,34.91,,,,,,,U
02-Aug-2023,CM,11378,11378,,abc10,C,12096.28,,,,,,,U
